,y
0,no
1,no
2,no
3,no
4,no
5,no
6,no
7,no
8,no
9,no
10,no
11,no
12,no
13,yes
14,no
15,no
16,no
17,no
18,no
19,no
20,no
21,no
22,no
23,no
24,no
25,no
26,no
27,no
28,no
29,no
30,yes
31,no
32,no
33,yes
34,yes
35,no
36,yes
37,yes
38,yes
39,no
40,no
41,no
42,no
43,no
44,no
45,no
46,no
47,no
48,no
49,yes
50,yes
51,no
52,no
53,yes
54,no
55,no
56,no
57,no
58,no
59,no
60,no
61,no
62,no
63,no
64,no
65,no
66,no
67,no
68,no
69,no
70,yes
71,no
72,no
73,no
74,no
75,no
76,no
77,no
78,no
79,no
80,yes
81,no
82,no
83,yes
84,yes
85,no
86,no
87,no
88,no
89,no
90,no
91,no
92,yes
93,no
94,no
95,no
96,no
97,no
98,no
99,yes
100,no
101,no
102,no
103,no
104,no
105,no
106,no
107,no
108,yes
109,no
110,yes
111,no
112,no
113,no
114,yes
115,yes
116,no
117,no
118,no
119,no
120,no
121,no
122,no
123,no
124,no
125,yes
126,no
127,no
128,no
129,yes
130,no
131,no
132,no
133,no
134,no
135,no
136,no
137,no
138,yes
139,no
140,no
141,no
142,no
143,no
144,no
145,no
146,no
147,no
148,no
149,no
150,no
151,no
152,no
153,no
154,no
155,no
156,yes
157,no
158,no
159,no
160,no
161,no
162,no
163,no
164,yes
165,no
166,no
167,no
168,no
169,no
170,no
171,no
172,no
173,no
174,no
175,no
176,no
177,no
178,no
179,no
180,no
181,no
182,no
183,no
184,no
185,no
186,no
187,no
188,no
189,yes
190,no
191,no
192,no
193,no
194,no
195,no
196,no
197,no
198,no
199,yes
200,no
201,no
202,yes
203,no
204,yes
205,no
206,no
207,no
208,no
209,no
210,no
211,no
212,no
213,no
214,no
215,yes
216,no
217,no
218,no
219,no
220,no
221,no
222,no
223,no
224,no
225,no
226,no
227,no
228,no
229,no
230,no
231,no
232,no
233,no
234,no
235,no
236,no
237,no
238,no
239,no
240,no
241,no
242,no
243,no
244,no
245,no
246,no
247,no
248,no
249,no
250,no
251,no
252,no
253,no
254,no
255,no
256,no
257,no
258,no
259,yes
260,no
261,no
262,no
263,no
264,no
265,no
266,no
267,no
268,no
269,no
270,no
271,yes
272,no
273,no
274,no
275,no
276,no
277,no
278,no
279,no
280,no
281,no
282,no
283,no
284,no
285,no
286,no
287,no
288,no
289,yes
290,yes
291,no
292,no
293,no
294,no
295,yes
296,no
297,yes
298,yes
299,yes
300,no
301,no
302,no
303,no
304,no
305,no
306,yes
307,no
308,no
309,no
310,no
311,no
312,no
313,no
314,yes
315,no
316,no
317,no
318,yes
319,no
320,no
321,no
322,no
323,yes
324,no
325,no
326,no
327,yes
328,yes
329,no
330,no
331,no
332,no
333,yes
334,yes
335,no
336,no
337,no
338,no
339,no
340,no
341,no
342,no
343,no
344,no
345,no
346,no
347,yes
348,no
349,no
350,no
351,no
352,no
353,no
354,no
355,no
356,no
357,no
358,yes
359,no
360,no
361,no
362,no
363,no
364,no
365,no
366,no
367,no
368,yes
369,no
370,no
371,no
372,no
373,no
374,no
375,no
376,no
377,yes
378,no
379,no
380,no
381,no
382,yes
383,no
384,no
385,no
386,no
387,no
388,no
389,no
390,no
391,no
392,no
393,no
394,no
395,no
396,no
397,no
398,no
399,no
400,no
401,yes
402,no
403,no
404,no
405,no
406,no
407,no
408,no
409,yes
410,no
411,no
412,yes
413,no
414,no
415,yes
416,no
417,no
418,no
419,no
420,no
421,no
422,no
423,no
424,no
425,no
426,no
427,no
428,no
429,no
430,no
431,no
432,no
433,no
434,no
435,no
436,no
437,no
438,no
439,no
440,no
441,no
442,no
443,yes
444,no
445,no
446,no
447,no
448,no
449,no
450,yes
451,no
452,no
453,no
454,no
455,no
456,yes
457,no
458,no
459,no
460,no
461,no
462,no
463,no
464,yes
465,no
466,no
467,no
468,no
469,no
470,no
471,no
472,no
473,yes
474,no
475,no
476,no
477,yes
478,no
479,no
480,no
481,no
482,no
483,no
484,no
485,no
486,no
487,no
488,no
489,no
490,no
491,no
492,yes
493,yes
494,yes
495,no
496,no
497,no
498,no
499,no
500,no
501,no
502,no
503,yes
504,no
505,no
506,no
507,no
508,no
509,yes
510,no
511,no
512,yes
513,no
514,no
515,no
516,no
517,yes
518,no
519,no
520,no
521,no
522,no
523,no
524,no
525,no
526,no
527,no
528,no
529,no
530,no
531,no
532,no
533,no
534,no
535,no
536,no
537,no
538,no
539,no
540,yes
541,no
542,no
543,no
544,no
545,no
546,no
547,no
548,no
549,no
550,no
551,no
552,no
553,no
554,no
555,no
556,no
557,yes
558,yes
559,no
560,no
561,no
562,no
563,no
564,no
565,no
566,no
567,no
568,no
569,no
570,no
571,no
572,no
573,no
574,no
575,no
576,no
577,no
578,no
579,no
580,no
581,yes
582,no
583,no
584,no
585,no
586,no
587,no
588,no
589,no
590,no
591,no
592,no
593,no
594,no
595,no
596,no
597,no
598,no
599,no
600,no
601,no
602,no
603,yes
604,no
605,no
606,no
607,no
608,no
609,no
610,no
611,no
612,no
613,yes
614,no
615,no
616,no
617,no
618,no
619,yes
620,no
621,no
622,no
623,no
624,no
625,no
626,no
627,no
628,no
629,no
630,yes
631,no
632,no
633,no
634,yes
635,no
636,no
637,no
638,no
639,yes
640,no
641,no
642,no
643,yes
644,no
645,yes
646,no
647,no
648,no
649,no
650,no
651,no
652,no
653,no
654,no
655,no
656,no
657,no
658,no
659,no
660,no
661,yes
662,yes
663,no
664,no
665,no
666,no
667,no
668,no
669,no
670,no
671,no
672,no
673,no
674,no
675,no
676,no
677,no
678,no
679,no
680,no
681,no
682,no
683,no
684,yes
685,no
686,no
687,no
688,no
689,no
690,no
691,no
692,no
693,no
694,no
695,no
696,no
697,no
698,no
699,no
700,no
701,no
702,yes
703,no
704,yes
705,yes
706,no
707,no
708,no
709,no
710,no
711,no
712,no
713,no
714,no
715,no
716,no
717,no
718,no
719,no
720,no
721,no
722,no
723,no
724,no
725,no
726,no
727,no
728,no
729,no
730,no
731,no
732,yes
733,no
734,no
735,no
736,no
737,yes
738,no
739,no
740,no
741,yes
742,no
743,yes
744,no
745,no
746,no
747,no
748,no
749,no
750,no
751,no
752,no
753,no
754,no
755,no
756,yes
757,no
758,no
759,no
760,no
761,no
762,no
763,no
764,no
765,no
766,no
767,no
768,no
769,no
770,no
771,no
772,no
773,no
774,no
775,no
776,no
777,no
778,no
779,no
780,no
781,no
782,no
783,no
784,no
785,no
786,no
787,no
788,no
789,no
790,no
791,no
792,no
793,no
794,yes
795,no
796,no
797,no
798,no
799,no
800,no
801,no
802,no
803,no
804,no
805,no
806,no
807,no
808,no
809,yes
810,no
811,no
812,no
813,no
814,no
815,no
816,no
817,no
818,no
819,no
820,no
821,no
822,no
823,yes
824,no
825,no
826,no
827,no
828,no
829,no
830,no
831,yes
832,no
833,no
834,no
835,no
836,no
837,yes
838,no
839,no
840,no
841,no
842,no
843,no
844,no
845,no
846,no
847,no
848,no
849,yes
850,no
851,no
852,no
853,no
854,no
855,yes
856,no
857,no
858,no
859,no
860,no
861,no
862,yes
863,no
864,no
865,no
866,no
867,no
868,no
869,no
870,no
871,yes
872,no
873,no
874,no
875,no
876,no
877,no
878,no
879,no
880,yes
881,no
882,no
883,no
884,no
885,no
886,yes
887,no
888,no
889,no
890,no
891,no
892,yes
893,no
894,no
895,no
896,no
897,no
898,no
899,no
900,no
901,no
902,no
903,no
904,no
905,yes
906,no
907,no
908,no
909,no
910,no
911,no
912,no
913,no
914,no
915,no
916,no
917,no
918,no
919,no
920,no
921,no
922,no
923,no
924,no
925,no
926,no
927,no
928,no
929,no
930,no
931,no
932,no
933,no
934,no
935,no
936,no
937,no
938,no
939,no
940,yes
941,yes
942,no
943,no
944,yes
945,yes
946,no
947,no
948,no
949,no
950,no
951,no
952,no
953,no
954,no
955,no
956,no
957,no
958,no
959,no
960,no
961,no
962,no
963,no
964,no
965,yes
966,no
967,no
968,no
969,no
970,yes
971,no
972,no
973,no
974,no
975,yes
976,no
977,no
978,no
979,no
980,yes
981,no
982,no
983,no
984,yes
985,no
986,no
987,no
988,no
989,no
990,no
991,yes
992,no
993,no
994,no
995,no
996,no
997,no
998,no
999,no
1000,no
1001,no
1002,no
1003,no
1004,no
1005,no
1006,no
1007,yes
1008,no
1009,no
1010,no
1011,no
1012,no
1013,no
1014,no
1015,no
1016,no
1017,yes
1018,no
1019,yes
1020,yes
1021,yes
1022,no
1023,no
1024,no
1025,yes
1026,no
1027,no
1028,no
1029,no
1030,no
1031,no
1032,no
1033,no
1034,no
1035,no
1036,no
1037,no
1038,no
1039,no
1040,yes
1041,no
